Date	Sales	Returns
10.09.2012	5029	1989
11.09.2012	5327	1892
12.09.2012	5012	2102
13.09.2012	6084	1186
14.09.2012	6172	1219
15.09.2012	7222	1451
16.09.2012	6819	1712
17.09.2012	5059	1575
18.09.2012	4676	2240
19.09.2012	3000	272
20.09.2012	5739	1134
21.09.2012	887	4162
22.09.2012	6288	836
23.09.2012	6844	1051
24.09.2012	4615	1840
25.09.2012	5412	2027
26.09.2012	5273	1856
27.09.2012	4996	1961
28.09.2012	5590	835
29.09.2012	6648	1478
30.09.2012	6569	1075
01.10.2012	4396	1808
02.10.2012	5205	1511
03.10.2012	5350	1355
04.10.2012	4939	1835
05.10.2012	6693	671
06.10.2012	7112	885
07.10.2012	6933	735
08.10.2012	4621	1495
09.10.2012	5251	1300
10.10.2012	5459	877
11.10.2012	5194	1324
12.10.2012	6255	1152
13.10.2012	6800	1105
14.10.2012	6959	715
15.10.2012	4404	1726
16.10.2012	4921	1601
17.10.2012	5289	1185
18.10.2012	5067	1309
19.10.2012	6009	1299
20.10.2012	6801	1091
21.10.2012	10479	339
22.10.2012	3390	1549
23.10.2012	5303	1031
24.10.2012	5852	507
25.10.2012	6591	370
26.10.2012	11054	3343
27.10.2012	12082	1717
28.10.2012	11908	1525
29.10.2012	12143	1934
30.10.2012	5800	796
31.10.2012	6353	1172
01.11.2012	6383	938
02.11.2012	6562	1139
03.11.2012	7628	800
04.11.2012	7951	385
05.11.2012	4925	1585
06.11.2012	5084	1921
07.11.2012	5097	2653
08.11.2012	5462	1188
09.11.2012	6114	578
10.11.2012	6373	1160
11.11.2012	6479	1046
12.11.2012	4343	1677
13.11.2012	5596	1166
14.11.2012	4999	1322
15.11.2012	5279	1503
16.11.2012	5432	1383
17.11.2012	6584	1212
18.11.2012	6661	1206
19.11.2012	4297	1480
20.11.2012	5112	1683
21.11.2012	4905	1760
22.11.2012	5279	921
23.11.2012	4632	716
24.11.2012	1510	1149
25.11.2012	0	0
26.11.2012	4480	1541
27.11.2012	4565	1815
28.11.2012	4465	1875
29.11.2012	4849	1360
30.11.2012	6084	757
01.12.2012	6609	800
02.12.2012	6482	1117
03.12.2012	4308	1852
04.12.2012	4580	1941
05.12.2012	4827	1585
06.12.2012	5214	1523
07.12.2012	5733	1531
08.12.2012	6245	1202
09.12.2012	6423	989
10.12.2012	4249	1642
11.12.2012	5191	1239
12.12.2012	5345	1072
13.12.2012	5545	1200
14.12.2012	5341	1611
15.12.2012	4501	1776
16.12.2012	6753	800
17.12.2012	5214	511
18.12.2012	6300	684
19.12.2012	6478	686
20.12.2012	6525	1589
21.12.2012	6350	1587
22.12.2012	6531	1151
23.12.2012	5977	1746
24.12.2012	5544	1088
25.12.2012	5099	2482
26.12.2012	3944	995
27.12.2012	5461	1115
28.12.2012	5391	1619
29.12.2012	6368	843
30.12.2012	6498	915
31.12.2012	5484	457
